Month,Price,Change
Jul-93,1.27,-
Aug-93,1.22,-3.94%
Sep-93,1.22,0.00%
Oct-93,1.21,-0.82%
Nov-93,1.21,0.00%
Dec-93,1.31,8.26%
Jan-94,1.53,16.79%
Feb-94,1.78,16.34%
Mar-94,1.8,1.12%
Apr-94,1.85,2.78%
May-94,1.9,2.70%
Jun-94,1.89,-0.53%
Jul-94,1.8,-4.76%
Aug-94,1.69,-6.11%
Sep-94,1.66,-1.78%
Oct-94,1.63,-1.81%
Nov-94,1.71,4.91%
Dec-94,1.92,12.28%
Jan-95,2.11,9.90%
Feb-95,2.23,5.69%
Mar-95,2.44,9.42%
Apr-95,2.51,2.87%
May-95,2.53,0.80%
Jun-95,2,-20.95%
Jul-95,1.93,-3.50%
Aug-95,1.88,-2.59%
Sep-95,2.01,6.91%
Oct-95,2.01,0.00%
Nov-95,1.97,-1.99%
Dec-95,1.94,-1.52%
Jan-96,1.9,-2.06%
Feb-96,1.87,-1.58%
Mar-96,1.83,-2.14%
Apr-96,1.83,0.00%
May-96,1.83,0.00%
Jun-96,1.83,0.00%
Jul-96,1.76,-3.83%
Aug-96,1.68,-4.55%
Sep-96,1.66,-1.19%
Oct-96,1.66,0.00%
Nov-96,1.68,1.20%
Dec-96,1.75,4.17%
Jan-97,1.76,0.57%
Feb-97,1.77,0.57%
Mar-97,1.78,0.56%
Apr-97,1.74,-2.25%
May-97,1.75,0.57%
Jun-97,1.78,1.71%
Jul-97,1.79,0.56%
Aug-97,1.79,0.00%
Sep-97,1.76,-1.68%
Oct-97,1.71,-2.84%
Nov-97,1.7,-0.58%
Dec-97,1.64,-3.53%
Jan-98,1.59,-3.05%
Feb-98,1.52,-4.40%
Mar-98,1.51,-0.66%
Apr-98,1.45,-3.97%
May-98,1.42,-2.07%
Jun-98,1.52,7.04%
Jul-98,1.54,1.32%
Aug-98,1.5,-2.60%
Sep-98,1.46,-2.67%
Oct-98,1.36,-6.85%
Nov-98,1.24,-8.82%
Dec-98,1.23,-0.81%
Jan-99,1.23,0.00%
Feb-99,1.24,0.81%
Mar-99,1.25,0.81%
Apr-99,1.27,1.60%
May-99,1.32,3.94%
Jun-99,1.29,-2.27%
Jul-99,1.2,-6.98%
Aug-99,1.12,-6.67%
Sep-99,1.09,-2.68%
Oct-99,1.05,-3.67%
Nov-99,1.02,-2.86%
Dec-99,0.97,-4.90%
Jan-00,1.05,8.25%
Feb-00,1.18,12.38%
Mar-00,1.26,6.78%
Apr-00,1.29,2.38%
May-00,1.33,3.10%
Jun-00,1.31,-1.50%
Jul-00,1.29,-1.53%
Aug-00,1.34,3.88%
Sep-00,1.36,1.49%
Oct-00,1.34,-1.47%
Nov-00,1.41,5.22%
Dec-00,1.45,2.84%
Jan-01,1.41,-2.76%
Feb-01,1.33,-5.67%
Mar-01,1.2,-9.77%
Apr-01,1.13,-5.83%
May-01,1.1,-2.65%
Jun-01,1.05,-4.55%
Jul-01,1,-4.76%
Aug-01,0.96,-4.00%
Sep-01,0.91,-5.21%
Oct-01,0.82,-9.89%
Nov-01,0.84,2.44%
Dec-01,0.95,13.10%
Jan-02,0.96,1.05%
Feb-02,0.94,-2.08%
Mar-02,0.93,-1.06%
Apr-02,0.91,-2.15%
May-02,0.88,-3.30%
Jun-02,0.96,9.09%
Jul-02,1.03,7.29%
Aug-02,1.09,5.83%
Sep-02,1.08,-0.92%
Oct-02,1.09,0.93%
Nov-02,1.15,5.50%
Dec-02,1.22,6.09%
Jan-03,1.25,2.46%
Feb-03,1.29,3.20%
Mar-03,1.35,4.65%
Apr-03,1.34,-0.74%
May-03,1.28,-4.48%
Jun-03,1.29,0.78%
Jul-03,1.33,3.10%
Aug-03,1.33,0.00%
Sep-03,1.41,6.02%
Oct-03,1.6,13.48%
Nov-03,1.7,6.25%
Dec-03,1.62,-4.71%
Jan-04,1.67,3.09%
Feb-04,1.63,-2.40%
Mar-04,1.59,-2.45%
Apr-04,1.53,-3.77%
May-04,1.54,0.65%
Jun-04,1.42,-7.79%
Jul-04,1.26,-11.27%
Aug-04,1.19,-5.56%
Sep-04,1.24,4.20%
Oct-04,1.16,-6.45%
Nov-04,1.08,-6.90%
Dec-04,1.07,-0.93%
Jan-05,1.13,5.61%
Feb-05,1.16,2.65%
Mar-05,1.24,6.90%
Apr-05,1.26,1.61%
May-05,1.23,-2.38%
Jun-05,1.19,-3.25%
Jul-05,1.21,1.68%
Aug-05,1.19,-1.65%
Sep-05,1.21,1.68%
Oct-05,1.28,5.79%
Nov-05,1.25,-2.34%
Dec-05,1.25,0.00%
Jan-06,1.29,3.20%
Feb-06,1.32,2.33%
Mar-06,1.27,-3.79%
Apr-06,1.24,-2.36%
May-06,1.2,-3.23%
Jun-06,1.22,1.67%
Jul-06,1.22,0.00%
Aug-06,1.32,8.20%
Sep-06,1.3,-1.52%
Oct-06,1.26,-3.08%
Nov-06,1.27,0.79%
Dec-06,1.31,3.15%
Jan-07,1.3,-0.76%
Feb-07,1.28,-1.54%
Mar-07,1.29,0.78%
Apr-07,1.26,-2.33%
May-07,1.22,-3.17%
Jun-07,1.34,9.84%
Jul-07,1.5,11.94%
Aug-07,1.47,-2.00%
Sep-07,1.5,2.04%
Oct-07,1.52,1.33%
Nov-07,1.54,1.32%
Dec-07,1.53,-0.65%
Jan-08,1.61,5.23%
Feb-08,1.65,2.48%
Mar-08,1.77,7.27%
Apr-08,1.66,-6.21%
May-08,1.63,-1.81%
Jun-08,1.7,4.29%
Jul-08,1.7,0.00%
Aug-08,1.72,1.18%
Sep-08,1.62,-5.81%
Oct-08,1.37,-15.43%
Nov-08,1.21,-11.68%
Dec-08,1.22,0.83%
Jan-09,1.27,4.10%
Feb-09,1.22,-3.94%
Mar-09,1.14,-6.56%
Apr-09,1.25,9.65%
May-09,1.37,9.60%
Jun-09,1.35,-1.46%
Jul-09,1.43,5.93%
Aug-09,1.42,-0.70%
Sep-09,1.41,-0.70%
Oct-09,1.47,4.26%
Nov-09,1.58,7.48%
Dec-09,1.68,6.33%
Jan-10,1.71,1.79%
Feb-10,1.76,2.92%
Mar-10,1.89,7.39%
Apr-10,1.94,2.65%
May-10,1.99,2.58%
Jun-10,2.05,3.02%
Jul-10,1.86,-9.27%
Aug-10,1.99,6.99%
Sep-10,2.31,16.08%
Oct-10,2.79,20.78%
Nov-10,3.41,22.22%
Dec-10,3.7,8.50%
Jan-11,3.94,6.49%
Feb-11,4.7,19.29%
Mar-11,5.06,7.66%
Apr-11,4.78,-5.53%
May-11,3.65,-23.64%
Jun-11,3.18,-12.88%
Jul-11,2.69,-15.41%
Aug-11,2.52,-6.32%
Sep-11,2.58,2.38%
Oct-11,2.44,-5.43%
Nov-11,2.31,-5.33%
Dec-11,2.1,-9.09%
Jan-12,2.23,6.19%
Feb-12,2.22,-0.45%
Mar-12,2.19,-1.35%
Apr-12,2.2,0.46%
May-12,1.95,-11.36%
Jun-12,1.81,-7.18%
Jul-12,1.85,2.21%
Aug-12,1.86,0.54%
Sep-12,1.86,0.00%
Oct-12,1.81,-2.69%
Nov-12,1.78,-1.66%
Dec-12,1.84,3.37%
Jan-13,1.89,2.72%
Feb-13,1.98,4.76%
Mar-13,2.08,5.05%
Apr-13,2.03,-2.40%
May-13,2.04,0.49%
Jun-13,2.05,0.49%
Jul-13,2.04,-0.49%
Aug-13,2.04,0.00%
Sep-13,1.99,-2.45%
Oct-13,1.97,-1.01%
Nov-13,1.87,-5.08%
Dec-13,1.93,3.21%
Jan-14,2.01,4.15%
Feb-14,2.07,2.99%
Mar-14,2.14,3.38%
Apr-14,2.08,-2.80%
May-14,2.04,-1.92%
Jun-14,2,-1.96%
Jul-14,1.85,-7.50%
Aug-14,1.63,-11.89%
Sep-14,1.62,-0.61%
Oct-14,1.55,-4.32%
Nov-14,1.49,-3.87%
Dec-14,1.51,1.34%
Jan-15,1.48,-1.99%
Feb-15,1.54,4.05%
Mar-15,1.53,-0.65%
Apr-15,1.58,3.31%
May-15,1.61,1.85%
Jun-15,1.6,-0.62%
Jul-15,1.6,0.00%
Aug-15,1.58,-1.25%
Sep-15,1.52,-3.80%
Oct-15,1.52,0.00%
Nov-15,1.53,0.66%
Dec-15,1.55,1.31%
Jan-16,1.52,-1.94%
Feb-16,1.47,-3.29%
Mar-16,1.44,-2.04%
Apr-16,1.53,6.25%
May-16,1.55,1.31%
Jun-16,1.63,5.16%
Jul-16,1.79,9.82%
Aug-16,1.77,-1.12%
Sep-16,1.72,-2.82%
Oct-16,1.73,0.58%
Nov-16,1.74,0.58%
Dec-16,1.75,0.57%
Jan-17,1.82,4.00%
Feb-17,1.88,3.30%
Mar-17,1.91,1.60%
Apr-17,1.92,0.52%
May-17,1.95,1.56%
Jun-17,1.87,-4.10%
Jul-17,1.85,-1.07%
Aug-17,1.75,-5.41%
Sep-17,1.78,1.71%
Oct-17,1.73,-2.81%
Nov-17,1.77,2.31%
Dec-17,1.88,6.21%
Jan-18,2.01,6.91%
Feb-18,1.95,-2.99%
Mar-18,2.03,4.10%
Apr-18,2.03,0.00%
May-18,2.08,2.46%
Jun-18,2.15,3.37%
Jul-18,2.12,-1.40%
Aug-18,2.08,-1.89%
Sep-18,1.99,-4.33%
Oct-18,1.91,-4.02%
Nov-18,1.91,0.00%
Dec-18,1.9,-0.52%
Jan-19,1.82,-4.21%
Feb-19,1.79,-1.65%
Mar-19,1.85,3.35%
Apr-19,1.92,3.78%
May-19,1.77,-7.81%
Jun-19,1.71,-3.39%
Jul-19,1.67,-2.34%
Aug-19,1.56,-6.59%
Sep-19,1.57,0.64%
Oct-19,1.63,3.82%
Nov-19,1.65,1.23%
Dec-19,1.67,1.21%
Jan-20,1.74,4.19%
Feb-20,1.69,-2.87%
Mar-20,1.49,-11.83%
Apr-20,1.4,-6.04%
May-20,1.45,3.57%
Jun-20,1.49,2.76%
Jul-20,1.51,1.34%
Aug-20,1.54,1.99%
Sep-20,1.56,1.30%
Oct-20,1.65,5.77%
Nov-20,1.71,3.64%
Dec-20,1.79,4.68%
Jan-21,1.92,7.26%
Feb-21,2.05,6.77%
Mar-21,2.02,-1.46%
Apr-21,2,-0.99%
May-21,2,0.00%
Jun-21,2.08,4.00%
Jul-21,2.15,3.37%
Aug-21,2.23,3.72%
Sep-21,2.29,2.69%
Oct-21,2.59,13.10%
Nov-21,2.79,7.72%
Dec-21,2.65,-5.02%
Jan-22,2.91,9.81%
Feb-22,3.05,4.81%
Mar-22,3.11,1.97%
Apr-22,3.42,9.97%
May-22,3.61,5.56%
Jun-22,3.4,-5.82%
Jul-22,2.89,-15.00%
Aug-22,2.74,-5.19%
Sep-22,2.59,-5.47%
Oct-22,2.2,-15.06%
Nov-22,2.23,1.36%
Dec-22,2.22,-0.45%
Jan-23,2.21,-0.45%
Feb-23,2.19,-0.90%
Mar-23,2.1,-4.11%
Apr-23,2.1,0.00%
May-23,2.07,-1.43%
Jun-23,2.04,-1.45%
